date,APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price
2014-09-01,Kurdwadi,sorgum(jawar),2014,September,454,1353,2610,1981
2014-09-01,Satara,ladies finger,2014,September,128,2435,3261,2848
2014-09-01,Satara,potato,2014,September,2988,2175,2488,2331
2014-09-01,Satara,ginger (fresh),2014,September,199,3438,4813,4125
2014-09-01,Satara,ground nut pods (dry),2014,September,1,3000,4000,3500
2014-09-01,Phaltan,onion,2014,September,8013,400,1792,1300
2014-09-01,Shahapur,brinjal,2014,September,51,1447,1900,1741
2014-09-01,Satara,bottle gourd,2014,September,100,879,1954,1192
2014-09-01,Shahapur,ridge gourd,2014,September,172,2425,2925,2750
2014-09-01,Shahapur,bitter gourd,2014,September,51,2088,2488,2347
2014-09-01,Shahapur,cucumber,2014,September,51,1312,1694,1553
2014-09-01,Phaltan,maize,2014,September,391,1273,1392,1330
2014-09-01,Phaltan,sorgum(jawar),2014,September,1698,1565,2432,1900
2014-09-01,Phaltan,wheat(husked),2014,September,1509,1525,2050,1738
2014-09-01,Shahapur,ghosali(bhaji),2014,September,51,1012,1476,1318
2014-09-01,Phaltan,jaggery,2014,September,360,2913,3189,3078
2014-09-01,Phaltan,bajri,2014,September,327,1333,1784,1583
2014-09-01,Satara,flower,2014,September,374,1261,2335,1798
2014-09-01,Satara,ghevda,2014,September,3,2500,3000,2750
2014-09-01,Satara,green chilli,2014,September,427,2420,3236,2822
2014-09-01,Satara,garlic,2014,September,63,2000,5000,3500
2014-09-01,Satara,brinjal,2014,September,353,1224,2252,1720
2014-09-01,Satara,green-peas,2014,September,122,4533,5867,5200
2014-09-01,Satara,tomato,2014,September,733,1208,1848,1465
2014-09-01,Satara,shevga,2014,September,47,3250,4344,3797
2014-09-01,Satara,cluster bean,2014,September,130,3391,4630,4007
2014-09-01,Satara,sweet potato,2014,September,74,900,1500,1200
2014-09-01,Satara,capsicum,2014,September,206,1652,2391,2022
2014-09-01,Satara,garlic,2014,September,125,2000,5000,3500
2014-09-01,Satara,cabbage,2014,September,527,417,713,565
2014-09-01,Satara,bitter gourd,2014,September,87,2875,3750,3310
2014-09-01,Satara,onion,2014,September,2159,1350,1788,1569
2014-09-01,Satara,cucumber,2014,September,193,752,1265,1002
2014-09-01,Satara,pavtta,2014,September,102,2739,3348,3043
2014-09-01,Shahapur,chavli (shenga ),2014,September,30,1360,1780,1650
2014-09-01,Patan,green chilli,2014,September,385,2425,2885,2655
2014-09-01,Patan,brinjal,2014,September,2068,1536,1829,1685
2014-09-01,Koregaon,green gram,2014,September,65,6394,6706,6550
2014-09-01,Koregaon,gram,2014,September,47,3129,3143,3136
2014-09-01,Koregaon,ghevda seed,2014,September,212,5288,6371,5829
2014-09-01,Koregaon,sorgum(jawar),2014,September,31,1600,1838,1719
2014-09-01,Karad,green chilli,2014,September,164,2464,3127,2786
2014-09-01,Karad,brinjal,2014,September,1375,1031,1415,1212
2014-09-01,Koregaon,onion,2014,September,113,1000,1733,1367
2014-09-01,Karad,green-peas,2014,September,126,3100,4433,3775
2014-09-01,Karad,ridge gourd,2014,September,549,1700,2271,2018
2014-09-01,Karad,shevga,2014,September,63,2625,3300,2958
2014-09-01,Karad,sweet potato,2014,September,72,1350,2000,1713
2014-09-01,Karad,snake gourd,2014,September,75,1175,1625,1396
2014-09-01,Karad,capsicum,2014,September,126,1218,1755,1505
2014-09-01,Karad,garlic,2014,September,511,3083,4292,3683
2014-09-01,Karad,tomato,2014,September,288,1369,1938,1658
2014-09-01,Lonand,bajri,2014,September,166,1290,1746,1550
2014-09-01,Lonand,wheat(husked),2014,September,201,1400,1838,1650
2014-09-01,Lonand,sorgum(jawar),2014,September,269,1550,1738,1638
2014-09-01,Patan,tomato,2014,September,2043,1863,2278,2080
2014-09-01,Patan,pavtta,2014,September,134,2500,3000,2750
2014-09-01,Shahapur,ladies finger,2014,September,180,1847,2259,2118
2014-09-01,Patan,cabbage,2014,September,895,736,936,836
2014-09-01,Shahapur,paddy-unhusked,2014,September,49,1415,1521,1488
2014-09-01,Patan,bitter gourd,2014,September,23,2500,3000,2750
2014-09-01,Patan,cucumber,2014,September,93,875,1175,1025
2014-09-01,Patan,ghevda,2014,September,263,2142,2708,2425
2014-09-01,Patan,cluster bean,2014,September,59,2250,3000,2625
2014-09-01,Patan,flower,2014,September,590,1311,1533,1422
2014-09-01,Patan,ladies finger,2014,September,445,2714,3286,3017
2014-09-01,Patan,ginger (fresh),2014,September,395,4350,5380,4837
2014-09-01,Lonand,onion,2014,September,3227,722,1613,1372
2014-09-01,Lonand,gram,2014,September,6,3275,3275,3275
2014-09-01,Lonand,maize,2014,September,73,1400,1463,1431
2014-09-01,Vaduj,bajri,2014,September,96,1400,1563,1475
2014-09-01,Karad,cabbage,2014,September,192,442,658,546
2014-09-01,Vasai,paddy-unhusked,2014,September,80,1500,1800,1650
2014-09-01,Vaduj,maize,2014,September,88,1350,1400,1375
2014-09-01,Bhokar,black gram,2014,September,2,4976,4976,4976
2014-09-01,Bhokar,ground nut pods (dry),2014,September,7,3575,3600,3500
2014-09-01,Bhokar,soybean,2014,September,44,3455,3586,3519
2014-09-01,Bhokar,sunflower,2014,September,4,3700,3700,3700
2014-09-01,Bhokar,sesamum,2014,September,188,9863,10559,10190
2014-09-01,Bhokar,turmeric,2014,September,112,4034,4954,4600
2014-09-01,Bhokar,pigeon pea (tur),2014,September,213,4212,4711,4449
2014-09-01,Deglur,green gram,2014,September,2922,5513,6411,6038
2014-09-01,Dharmabad,green gram,2014,September,342,5677,4359,5144
2014-09-01,Dharmabad,pigeon pea (tur),2014,September,225,4551,4043,4309
2014-09-01,Dharmabad,black gram,2014,September,4515,4934,3319,4270
2014-09-01,Hadgaon,wheat(husked),2014,September,81,1680,1800,1600
2014-09-01,Hadgaon,sorgum(jawar),2014,September,47,1667,1767,1600
2014-09-01,Hadgaon,gram,2014,September,92,2433,2533,2367
2014-09-01,Deglur,black gram,2014,September,520,5184,5789,5471
2014-09-01,Hadgaon,pigeon pea (tur),2014,September,76,4467,4533,4267
2014-09-01,Bhokar,green gram,2014,September,8,4700,5800,5363
2014-09-01,Bhokar,wheat(husked),2014,September,442,1338,1517,1421
2014-09-01,Savner,soybean,2014,September,137,2687,2966,2826
2014-09-01,Umared,wheat(husked),2014,September,2807,1500,1844,1672
2014-09-01,Umared,sorgum(jawar),2014,September,4,1775,1775,1775
2014-09-01,Umared,rice(paddy-hus),2014,September,4017,2000,4463,3231
2014-09-01,Umared,gram,2014,September,612,2526,2789,2657
2014-09-01,Umared,lang,2014,September,17,1618,1618,1618
2014-09-01,Bhokar,sorgum(jawar),2014,September,719,1268,1572,1460
2014-09-01,Umared,green gram,2014,September,9,5034,5034,5034
2014-09-01,Umared,linseed,2014,September,4,4708,4708,4708
2014-09-01,Umared,soybean,2014,September,1028,2988,3169,3063
2014-09-01,Umared,coriander (dry),2014,September,22,9573,9728,9650
2014-09-01,Umared,chillies(red),2014,September,3,3250,4250,3750
2014-09-01,Umared,mustard,2014,September,2,2900,2900,2900
2014-09-01,Bhokar,bajri,2014,September,22,1261,1635,1478
2014-09-01,Umared,pigeon pea (tur),2014,September,20,4161,4483,4322
2014-09-01,Hadgaon,soybean,2014,September,48,3675,3750,3600
2014-09-01,Kinwat,ground nut pods (dry),2014,September,80,3400,3500,3450
2014-09-01,Loha,wheat(husked),2014,September,146,1474,1735,1594
2014-09-01,Nanded,gram,2014,September,23,2350,2500,2450
2014-09-01,Vai,flower,2014,September,263,1893,2346,2120
2014-09-01,Vai,bottle gourd,2014,September,81,1175,1500,1333
2014-09-01,Vasai,potato,2014,September,113,1600,2200,1800
2014-09-01,Vai,ladies finger,2014,September,194,2348,2874,2611
2014-09-01,Vai,ginger (fresh),2014,September,117,5000,5981,5491
2014-09-01,Vai,cluster bean,2014,September,48,3500,4625,4063
2014-09-01,Nanded,pigeon pea (tur),2014,September,14,3200,4600,4500
2014-09-01,Vasai,rice(paddy-hus),2014,September,510,1600,3800,2200
2014-09-01,Vaduj,green gram,2014,September,425,6429,6800,6586
2014-09-01,Vaduj,gram,2014,September,157,2575,2675,2625
2014-09-01,Nanded,turmeric,2014,September,392,5000,6058,5765
2014-09-01,Vaduj,ghevda seed,2014,September,175,6000,6400,6225
2014-09-01,Vasai,wheat(husked),2014,September,1180,1700,3400,2050
2014-09-01,Vai,pavata,2014,September,101,3750,4300,4025
2014-09-01,Vai,cucumber,2014,September,90,927,1153,1040
2014-09-01,Vai,cabbage,2014,September,283,790,955,874
2014-09-01,Vasai,onion,2014,September,122,1800,2200,2000
2014-09-01,Loha,sorgum(jawar),2014,September,111,3286,1333,1306
2014-09-01,Loha,gram,2014,September,11,1800,2576,2401
2014-09-01,Loha,green gram,2014,September,46,5028,6626,6294
2014-09-01,Loha,pigeon pea (tur),2014,September,89,4581,4916,4813
2014-09-01,Loha,ground nut pods (dry),2014,September,24,3401,4042,3850
2014-09-01,Loha,turmeric,2014,September,247,4629,5157,4885
2014-09-01,Naigaon,sorgum(jawar),2014,September,2,1000,1050,1000
2014-09-01,Vasai,tomato,2014,September,100,1600,2200,1900
2014-09-01,Vai,green chilli,2014,September,239,2252,2830,2541
2014-09-01,Nanded,wheat(husked),2014,September,111,1536,1583,1571
2014-09-01,Vai,brinjal,2014,September,371,1771,2082,1927
2014-09-01,Vai,green-peas,2014,September,170,3615,4808,4212
2014-09-01,Vai,tomato,2014,September,1251,2090,2590,2337
2014-09-01,Vai,ridge gourd,2014,September,27,2778,3444,3111
2014-09-01,Nanded,sorgum(jawar),2014,September,26,1230,1250,1230
2014-09-01,Vaduj,sorgum(jawar),2014,September,2080,2163,2275,2219
2014-09-01,Karad,bitter gourd,2014,September,114,2200,2685,2442
2014-09-01,Karad,onion,2014,September,1329,1375,2150,1758
2014-09-01,Karad,cucumber,2014,September,183,600,864,732
2014-09-01,Kalyan,ghevda,2014,September,3,2200,2400,2300
2014-09-01,Kalyan,cluster bean,2014,September,3,2000,2200,2100
2014-09-01,Kalyan,flower,2014,September,6,750,1250,1000
2014-09-01,Kalyan,bottle gourd,2014,September,3,700,800,750
2014-09-01,Kalyan,squash gourd,2014,September,3,900,1000,950
2014-09-01,Kalyan,ladies finger,2014,September,6,1400,1800,1600
2014-09-01,Kalyan,onion,2014,September,12,850,1225,1038
2014-09-01,Kalyan,potato,2014,September,6,2050,2300,2175
2014-09-01,Bhivandi,other vegetables,2014,September,305,1113,2075,1598
2014-09-01,Bhivandi,potato,2014,September,50,1060,2020,1520
2014-09-01,Bhivandi,rice(paddy-hus),2014,September,849,1413,2408,1950
2014-09-01,Bhivandi,wheat(husked),2014,September,35,1388,2145,1788
2014-09-01,Chandvad,onion,2014,September,56720,177,1618,1209
2014-09-01,Devala,bajri,2014,September,648,1304,1555,1453
2014-09-01,Bhivandi,onion,2014,September,69,1526,2519,2024
2014-09-01,Devala,wheat(husked),2014,September,54,1562,1635,1587
2014-09-01,Kalyan,cabbage,2014,September,3,500,600,550
2014-09-01,Kalyan,capsicum,2014,September,6,2000,2300,2150
2014-09-01,Amarawati,pigeon pea (tur),2014,September,16,4600,4995,4763
2014-09-01,Amarawati,green gram,2014,September,16,6000,6825,6400
2014-09-01,Amarawati,gram,2014,September,12,2517,2850,2667
2014-09-01,Amarawati,sorgum(jawar),2014,September,16,1475,1788,1613
2014-09-01,Amarawati,wheat(husked),2014,September,16,1700,1925,1800
2014-09-01,Achalpur,sesamum,2014,September,2,9200,9200,9200
2014-09-01,Kalyan,garlic,2014,September,6,3500,5500,4500
2014-09-01,Achalpur,soybean,2014,September,270,2700,3279,2990
2014-09-01,Achalpur,pigeon pea (tur),2014,September,310,4467,5005,4736
2014-09-01,Achalpur,gram,2014,September,90,2467,2634,2550
2014-09-01,Achalpur,rice(paddy-hus),2014,September,5,1700,1750,1725
2014-09-01,Achalpur,maize,2014,September,2,1338,1338,1338
2014-09-01,Achalpur,wheat(husked),2014,September,300,1467,1617,1542
2014-09-01,Kalyan,tomato,2014,September,3,2200,2400,2300
2014-09-01,Achalpur,black gram,2014,September,4,4350,4350,4350
2014-09-01,Devala,sorgum(jawar),2014,September,14,2297,2529,2494
2014-09-01,Devala,maize,2014,September,11,1290,1290,1290
2014-09-01,Devala,cowpea,2014,September,6,2565,2565,2565
2014-09-01,Lasalgaon,maize,2014,September,623,1247,1361,1336
2014-09-01,Lasalgaon,gram,2014,September,542,2315,2828,2691
2014-09-01,Lasalgaon,green gram,2014,September,9,5900,6617,6234
2014-09-01,Lasalgaon,pigeon pea (tur),2014,September,2,3901,3901,3901
2014-09-01,Lasalgaon,ground nut pods (dry),2014,September,31,3836,4128,4017
2014-09-01,Lasalgaon,soybean,2014,September,925,1954,3507,3431
2014-09-01,Lasalgaon,sorgum(jawar),2014,September,13,1737,1737,1737
2014-09-01,Lasalgaon,sunflower,2014,September,1,2851,2851,2851
2014-09-01,Lasalgaon,onion,2014,September,305620,323,1943,1360
2014-09-01,Lasalgaon,tomato,2014,September,3470,255,2105,1705
2014-09-01,Malegaon,bajri,2014,September,4934,1253,1589,1439
2014-09-01,Malegaon,wheat(husked),2014,September,2611,1316,1713,1536
2014-09-01,Malegaon,sorgum(jawar),2014,September,72,1565,1888,1740
2014-09-01,Malegaon,maize,2014,September,670,1124,1274,1219
2014-09-01,Lasalgaon,pomegranate,2014,September,1504,801,6010,4470
2014-09-01,Lasalgaon,wheat(husked),2014,September,2638,1526,1776,1578
2014-09-01,Lasalgaon,bajri,2014,September,388,1289,1615,1462
2014-09-01,Ghoti,brinjal,2014,September,413,1092,1742,1417
2014-09-01,Devala,gram,2014,September,49,3094,3667,3382
2014-09-01,Devala,horse gram,2014,September,3,3035,3035,3035
2014-09-01,Devala,matki,2014,September,2,6345,6345,6345
2014-09-01,Devala,green gram,2014,September,105,5943,7084,6708
2014-09-01,Devala,onion,2014,September,72914,597,1585,1325
2014-09-01,Dindori,onion,2014,September,30441,1100,1938,1388
2014-09-01,Dindori-Vani,onion,2014,September,58650,942,1791,1308
2014-09-01,Ghoti,paddy-unhusked,2014,September,30,2200,2200,2200
2014-09-01,Ghoti,rice(paddy-hus),2014,September,165,3330,3330,3330
2014-09-01,Ghoti,ladies finger,2014,September,90,1693,1943,1818
2014-09-01,Ghoti,flower,2014,September,168,1783,1867,1825
2014-09-01,Ghoti,cucumber,2014,September,78,910,1140,1025
2014-09-01,Ghoti,bitter gourd,2014,September,18,2600,2600,2600
2014-09-01,Ghoti,cabbage,2014,September,171,1609,1777,1693
2014-09-01,Ghoti,tomato,2014,September,135,1710,3455,1905
2014-09-01,Amarawati,soybean,2014,September,16,3025,3243,3103
2014-09-01,Anajngaon Surji,wheat(husked),2014,September,1434,1398,1598,1498
2014-09-01,Anajngaon Surji,sorgum(jawar),2014,September,132,1327,1531,1437
2014-09-01,Anajngaon Surji,gram,2014,September,732,2497,2708,2608
2014-09-01,Nandurbar,sorgum(jawar),2014,September,873,1349,1655,1524
2014-09-01,Nandurbar,maize,2014,September,67,1210,1290,1285
2014-09-01,Nandurbar,rice(paddy-hus),2014,September,20,1888,1888,1888
2014-09-01,Murbad,bitter gourd,2014,September,220,2700,3040,2520
2014-09-01,Nandurbar,gram,2014,September,166,2177,2742,2522
2014-09-01,Murbad,ghosali(bhaji),2014,September,207,1980,2160,1800
2014-09-01,Nandurbar,wheat(husked),2014,September,5965,1432,1635,1543
2014-09-01,Nandurbar,green gram,2014,September,342,5650,6812,6226
2014-09-01,Nandurbar,soybean,2014,September,6,3250,3375,3313
2014-09-01,Nandurbar,sunflower,2014,September,177,2875,2950,2905
2014-09-01,Nandurbar,cluster bean,2014,September,481,4391,5307,4883
2014-09-01,Murbad,bottle gourd,2014,September,67,1400,1633,1200
2014-09-01,Nandurbar,chillies(red),2014,September,28,1080,1080,1080
2014-09-01,Murbad,ladies finger,2014,September,267,3600,3800,3267
2014-09-01,Nandurbar,ground nut pods (dry),2014,September,4,3700,3700,3700
2014-09-01,Murbad,capsicum,2014,September,96,2250,2500,2050
2014-09-01,Nandurbar,bajri,2014,September,697,1125,1384,1275
2014-09-01,Murbad,tomato,2014,September,292,2900,3160,2720
2014-09-01,Karad,ghevda,2014,September,129,1817,2533,2183
2014-09-01,Karad,cluster bean,2014,September,96,2433,3500,3013
2014-09-01,Karad,flower,2014,September,156,1050,1458,1250
2014-09-01,Karad,bottle gourd,2014,September,159,1015,1385,1208
2014-09-01,Karad,squash gourd,2014,September,21,1000,1800,1400
2014-09-01,Karad,ladies finger,2014,September,471,2138,2854,2488
2014-09-01,Karad,potato,2014,September,1165,1683,2258,1971
2014-09-01,Karad,ginger (fresh),2014,September,75,3492,4892,4188
2014-09-01,Karad,pavata,2014,September,111,2109,2764,2441
2014-09-01,Karad,apple,2014,September,369,5763,11406,8569
2014-09-01,Karad,mosambi,2014,September,90,3643,5607,4625
2014-09-01,Karad,banana,2014,September,332,1673,2253,1963
2014-09-01,Karad,pomegranate,2014,September,114,2571,4786,3661
2014-09-01,Karad,chikoo,2014,September,156,1120,1740,1427
2014-09-01,Murbad,brinjal,2014,September,127,2233,2433,2033
2014-09-01,Murbad,paddy-unhusked,2014,September,154,1700,1867,1600
2014-09-01,Savner,pigeon pea (tur),2014,September,356,4233,4587,4410
2014-09-01,Kalyan,green chilli,2014,September,6,3150,3600,3375
2014-09-01,Shahada,wheat(husked),2014,September,1706,1445,1684,1628
2014-09-01,Dhamangaon-Rly,soybean,2014,September,1422,3072,3512,3250
2014-09-01,Dhamangaon-Rly,pigeon pea (tur),2014,September,1065,4558,4947,4667
2014-09-01,Dhamangaon-Rly,gram,2014,September,1155,2451,2738,2550
2014-09-01,Dhamangaon-Rly,wheat(husked),2014,September,1050,1442,1513,1484
2014-09-01,Daryapur,soybean,2014,September,96,2500,3100,3062
2014-09-01,Daryapur,black gram,2014,September,29,3600,4781,4500
2014-09-01,Morshi,wheat(husked),2014,September,905,1444,1522,1485
2014-09-01,Daryapur,pigeon pea (tur),2014,September,150,4600,5160,5050
2014-09-01,Daryapur,gram,2014,September,185,1900,2925,2700
2014-09-01,Anajngaon Surji,chillies(red),2014,September,48,7600,9600,8600
2014-09-01,Anajngaon Surji,banana,2014,September,618,705,905,805
